timestamp,temperature_evaporator,temperature_internal,ambient_temperature,humidity_internal,pressure_refrigerant,current_compressor,vibration_level,gas_leak_level,compressor_status,compressor_cycle_time,energy_consumption,temperature_gradient,pressure_trend,part_at_risk,condition,sensor_column
2024-12-31 23:37:00+05:30,-1.61,-17.0,3.58,36.99,144.21,1.17,0.21,0.0,False,437,0.35,-0.17,-1.36,Evaporator Coil,Good,temperature_evaporator
2024-12-31 23:52:00+05:30,-1.63,-17.11,3.91,39.18,149.23,1.19,0.19,0.0,True,459,0.33,-0.05,-2.61,Compressor,Good,vibration_level
2025-01-01 00:07:00+05:30,-1.64,-17.33,3.87,36.38,140.37,1.16,0.19,0.0,False,456,0.33,0.02,-3.49,Freezer Compartment,Good,temperature_internal
2025-01-01 00:22:00+05:30,-1.66,-17.19,3.92,36.37,152.33,1.18,0.2,0.0,True,489,0.3,-0.08,-1.75,Freezer Compartment,Good,temperature_internal
2025-01-01 00:37:00+05:30,-1.62,-16.75,4.14,37.44,148.47,1.22,0.19,0.0,False,469,0.33,0.0,-1.7,Freezer Compartment,Warning,temperature_internal
2025-01-01 00:52:00+05:30,-0.856862003751445,-16.456938925538445,5.4537212718397505,36.34,137.85,1.5669348047994154,0.29055077638569315,0.0765390564889764,False,467,0.31,-0.16,-0.44,Freezer Compartment,Warning,temperature_internal
2025-01-01 01:07:00+05:30,-1.0,-16.73,5.0,35.13,148.29,1.5,0.19,0.01,False,447,0.31,-0.04,-0.78,Freezer Compartment,Warning,temperature_internal
2025-01-01 01:22:00+05:30,-1.0,-16.82,5.0,33.15,151.85,1.5,0.19,0.01,False,447,0.31,-0.23,-0.35,Freezer Compartment,Warning,temperature_internal
2025-01-01 01:37:00+05:30,-1.04,-16.69,5.0,33.43,145.0,1.48,0.21,0.01,False,416,0.3,-0.29,-0.23,Freezer Compartment,Warning,temperature_internal
2025-01-01 01:52:00+05:30,-1.0,-16.57,5.0,32.87,140.01,1.42,0.22,0.01,True,420,0.32,-0.26,-0.78,Freezer Compartment,Warning,temperature_internal
2025-01-01 02:07:00+05:30,-1.04,-16.54,5.0,33.2,142.79,1.41,0.18,0.01,True,443,0.32,-0.25,-0.53,Freezer Compartment,Warning,temperature_internal
2025-01-01 02:22:00+05:30,-1.09,-16.5,5.0,32.67,149.68,1.4,0.2,0.01,False,440,0.32,-0.18,0.14,Freezer Compartment,Warning,temperature_internal
2025-01-01 02:37:00+05:30,-1.09,-16.57,4.84,32.59,145.98,1.4,0.21,0.01,False,462,0.33,-0.24,-0.25,Freezer Compartment,Warning,temperature_internal
2025-01-01 02:52:00+05:30,-1.02,-16.66,4.76,30.03,143.24,1.35,0.18,0.01,True,467,0.33,-0.24,-0.05,Freezer Compartment,Warning,temperature_internal
2025-01-01 03:07:00+05:30,-1.03,-16.69,4.71,30.0,146.76,1.32,0.2,0.01,False,477,0.33,-0.26,-0.14,Freezer Compartment,Warning,temperature_internal
2025-01-01 03:22:00+05:30,-1.0,-16.55,4.67,30.0,143.41,1.4,0.19,0.01,False,482,0.31,-0.26,-1.4,Freezer Compartment,Warning,temperature_internal
2025-01-01 03:37:00+05:30,-1.0,-16.9,4.54,30.0,137.22,1.41,0.2,0.01,True,493,0.31,-0.25,-1.08,Freezer Compartment,Warning,temperature_internal
2025-01-01 03:52:00+05:30,0.061157606763358574,-15.634150250263504,6.181167608865126,30.28,138.47,2.2752967959871526,0.5532519636396132,0.10876813489793576,True,488,0.32,-0.47,-2.55,Evaporator Coil,Critical,temperature_evaporator
2025-01-01 04:07:00+05:30,-0.3070977982929183,-15.384719913919376,6.0788755835591,30.2,141.42,1.8996038805696285,0.48186573330462923,0.04641709662381215,True,532,0.32,-0.49,-2.67,Evaporator Coil,Warning,temperature_evaporator
2025-01-01 04:22:00+05:30,-1.0,-15.31,5.0,30.62,135.35,1.5,0.18,0.01,True,522,0.29,-0.56,-1.41,Freezer Compartment,Warning,temperature_internal
2025-01-01 04:37:00+05:30,0.2553422144043631,-14.465983251759646,7.116890240269442,30.16,133.58,2.1324398247852345,0.3815689022966626,0.06233591494349357,True,540,0.26,-0.53,-2.48,Evaporator Coil,Critical,temperature_evaporator
2025-01-01 04:52:00+05:30,-1.0,-15.0,5.0,30.58,134.38,1.5,0.21,0.01,False,527,0.25,-0.47,-2.62,Freezer Compartment,Warning,temperature_internal
